Pathways	Reactions of pathway
PWY-6937	1.1.1.209-RXN // RXN-12124 // 1.1.1.51-RXN // RXN-19805 // RXN-19804 // RXN-19803 // RXN-19802 // RXN-19801 // RXN-19800 // RXN-19799 // RXN-19798 // RXN-19797 // RXN-19796 // RXN-12751 // RXN-12750 // RXN-12749 // RXN-12748 // RXN-12747 // RXN-12746 // RXN-12736 // RXN-12734 // RXN-12735 // RXN-12718 // 1.13.11.25-RXN // RXN-12717 // RXN-12715 // RXN-12714 // RXN-12691
TOLUENE-DEG-DIOL-PWY	TOLUENE-DIOL-DEHYDROGENASE-RXN // TOLUENE-DIOXYGENASE-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN
PWY-5637	RXN-18437 // RXN-18436 // 5.4.4.1-RXN
PWY-5184	RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN // RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN // RXN-904 // RXN-905 // RXN-863 // RXN-864 // RXN-865 // RXN-902
PWY-6475	RXN-12244 // RXN-12243 // RXN-11357 // RXN-8042 // RXNARA-8002 // 2.5.1.32-RXN // RXN-11356 // RXN-11354
PWY-8130	RXN-14304 // RXN-21315 // RXN-21316
PWY-821	CYSTATHIONINE-BETA-LYASE-RXN // O-SUCCHOMOSERLYASE-RXN // RXN-15130 // CYSTATHIONINE-BETA-SYNTHASE-RXN // HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN // ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN // 1.8.4.8-RXN // SULFITE-REDUCT-RXN
PWY-7130	DEHYDDEOXPHOSGALACT-ALDOL-RXN // DEHYDDEOXGALACTKIN-RXN // RXN-13775 // RXN-13774 // RXN-13773 // RXN-13772 // RXN-13771
PWY-8435	RXN-23724 // RXN-23727 // RXN-23726 // TRANS-RXN-1546 // RXN-23725
PWY-5138	RXN-7699 // RXN-7835 // ENOYL-COA-HYDRAT-RXN // OHBUTYRYL-COA-EPIM-RXN // RXN-7836
PWY-7498	2.1.1.88-RXN // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-15534 // RXN-15537 // RXN-1104 // RXN-8262 // RXN-15536 // RXN-8452 // RXN-8451 // RXN-13900
PWY4FS-3	RXN4FS-2 // RXN4FS-1 // 2.1.1.71-RXN // 2.7.7.57-RXN // 2.1.1.103-RXN
PWY-7509	PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN // RXN-8141 // RXN-15544
KETOGLUCONMET-PWY	RXN0-7021 // RXN0-7020 // 1.1.1.274-RXN // 1.1.1.264-RXN // GLUCONOKIN-RXN // GLUCONATE-5-DEHYDROGENASE-RXN // 1.1.1.215-RXN // YIAE1-RXN
PWY-6816	3.2.1.81-RXN // 3.2.1.159-RXN
PWY-5801	RXN-9103
PWY-6607	RXN0-901 // GUANOSINE-DEAMINASE-RXN // RXN-7609 // RXN0-363
PWY-4985	RXN-7461
PWY-8520	RXN-19980 // RXN-19987 // RXN-24463 // RXN-19985
PWY-7854	MALSYN-RXN // RXN-18387 // RXN-11002 // RXN-18381 // RXN-15977 // RXN-8957 // RXN-16391 // RXN-8958 // RXN-8960 // RXN-8961 // RXN-18384 // METHYLMALONYL-COA-MUT-RXN // RXN-8891 // RXN-8890
PWY-8022	RXN-20021 // RXN-20022 // RXN-20012 // RXN-20011 // RXN-20010 // RXN-20008
PWY-5083	RXN-5822 // RXN-7703 // NADH-KINASE-RXN // NADH-DEHYDROG-A-RXN // NAD-KIN-RXN // PYRNUTRANSHYDROGEN-RXN
PWY2DNV-2	RXN2DNV-7 // RXN2DNV-6
PWY-6595	RXN0-366 // GUANINE-DEAMINASE-RXN // RXN0-901 // GUANOSINE-DEAMINASE-RXN // RXN-7609 // RXN0-363
GAMMAHEXCHLORDEG-PWY	LINBBSPON-RXN // LINABSPON-RXN // RXN-10077 // MALEYLACETATE-REDUCTASE-RXN // LINE-RXN // LIND-RXN // LINC-RXN // LINB2-RXN // LINB1-RXN // LINA2-RXN // LINA1-RXN
PWY-8516	RXN-24510 // RXN-24509 // RXN-24508 // RXN-24507 // RXN-24506
PWY-8298	RXN-22539 // RXN-22538 // RXN-22540
PWY-1381	FLUORENE-OXYGENASE-RXN // RXN-2482
PWY-5856	2.5.1.39-RXN // RXN-9243 // RXN-9242 // 2.1.1.64-RXN // RXN-9238 // RXN-9241 // RXN-9240 // RXN-9239
PWY-6361	RXN-7184 // 2.7.1.127-RXN // 2.7.1.151-RXN // RXN-7162 // RXN-7163
PWY-8233	RXN-22178 // RXN-22177 // RXN-22174 // RXN-22166 // RXN-22167 // RXN-22168 // RXN-22169 // GLCNACPTRANS-RXN // RXN-14572
PWY-7098	RXN-10891 // 1.2.1.67-RXN
PWY2PN3-13	ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // ORNCARBAMTRANSFER-RXN // CARBPSYN-RXN // RXN-21710
PWY-7619	RXN-12997 // RXN-13001 // RXN-12994 // RXN-13441 // RXN-11678
PWY0-1353	RXN0-5266 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
PWY-5386-1	D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN // GLYOXII-RXN // GLYOXI-RXN
VALDEG-PWY	RXN-11213 // 2.6.1.22-RXN // 1.2.1.25-RXN // 3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN // 3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN // METHYLACYLYLCOA-HYDROXY-RXN // MEPROPCOA-FAD-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
PWY-7055	RXN-13452 // RXN-13448 // RXN-13450 // RXN-13454
PWY-116	CONIFERIN-BETA-GLUCOSIDASE-RXN // 2.4.1.111-RXN
PWY-6071	RXN-2425 // RXN-10819 // RXNMETA-12672 // RXNMETA-12671 // RXN0-6510 // RXN0-6512 // RXN0-2042 // RXN0-2044 // RXN-3641 // RXN-10817 // PHENDEHYD-RXN
PWY-5928	4.2.3.16-RXN // CARVEOL-DEHYDROGENASE-RXN // --LIMONENE-6-MONOOXYGENASE-RXN
PWY-5877	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN // RXN-9320 // RXN-9319 // RXN-9318 // RXN-9317 // RXN-9316
PWY-7717	RXN-17072 // RXN-8665 // ARYLFORMAMIDASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // RXN-17069 // RXN-17068
PWY-8460	RXN-23999 // TRANS-RXN-1553 // RXN-23998 // RXN-23997 // RXN-23996 // RXN-23995 // RXN-23994 // RXN-11791
PWY-7828	RXN-18147 // RXN-18151 // RXN-18149
PWY-8299	RXN-13783 // RXN-22541
PWY-7444	LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN // 2.4.1.191-RXN // 2.4.1.190-RXN
PWY2DNV-3	RXN2DNV-12 // RXN2DNV-11 // RXN2DNV-10 // RXN2DNV-9 // RXN2DNV-8
PWY-8163	RXN-21555 // RXN-21549 // RXN-21553 // RXN-21554 // RXN-21552 // RXN-21551
PWY-8207	RXN-22067 // TRANS-RXN-440 // GLCNACPTRANS-RXN // RXN-21874 // RXN-21876 // RXN-21877 // RXN-21878
P108-PWY	MALATE-DEH-RXN // 2.1.3.1-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN
PWY-2981	RXN-7788 // RXN-15440 // RXN-15439 // RXN-15438 // RXN-15437 // RXN-9291 // RXN-8528 // RXN-4881 // RXN-4884 // RXN-4883 // RXN-4882 // 5.5.1.13-RXN
PWY-5532	RXN-14700 // RXN-14699 // CYTIKIN-RXN // URPHOS-RXN // ADENPHOSPHOR-RXN // RXN0-5199 // RXN-17337 // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-8800 // RXN-8801
PWY-8383	RXN-23316 // RXN-23315 // RXN-23314 // RXN-23313 // RXN-23312 // RXN-23310 // RXN-22679 // RXN-23308 // DHBAMPLIG-RXN
PWY0-1587	RXN0-7115 // RXN-14569 // RXN-14570
PWY-6430	RXN-11210 // RXN-11211 // RXN-11209
PWY1G-1	RXN1G-0 // RXN1G-186
PWY-5890	RXN-9361 // RXN-9358
PWY-6987	RXN-13037 // RXN-13036 // RXN0-949
PWY-8386	RXN-23321 // RXN-17503 // RXN-23320
PWY-5972	RXN-9623 // RXN-9624 // RXN-9546 // RXN-9545 // RXN-9544 // RXN-9543
PWY-4741	METHYLGUANIDINASE-RXN // RXN-7261
PWY-8013	PGLUCISOM-RXN // RXN-13760 // RXN-19880 // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // RXN-19878 // RXN-19879
PWY-7345	PHOSPHOGLUCMUT-RXN // PGLUCISOM-RXN // GLUC1PURIDYLTRANS-RXN // FRUCTOKINASE-RXN // SUCROSE-SYNTHASE-RXN // L-LACTATE-DEHYDROGENASE-RXN // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // RXN-6161 // ALCOHOL-DEHYDROG-RXN
PWY-8218	RXN-22124 // RXN-22123 // GLCNACPTRANS-RXN // RXN-14559 // RXN-22083 // RXN-22084
PWY-8401	RXN-8141 // RXN-9591 // RXN-9590 // RXN0-7012 // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // GLYC3PDEHYDROGBIOSYN-RXN // CDPDIGLYSYN-RXN // PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN // PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN
PWY-1501	BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZOYLFORMATE-DECARBOXYLASE-RXN // MANDELATE-DEHYDROGENASE-RXN // MANDELATE-RACEMASE-RXN
PWY-6141	RXN-14398 // RXN-14406 // RXN-14405 // RXN-10935 // RXN-9996 // RXN-14400 // RXN-14399 // 1.1.1.261-RXN // 2.5.1.41-RXN // 2.5.1.42-RXN // RXN-9995
ACETATEUTIL-PWY	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // ACETATE--COA-LIGASE-RXN
PWY-7675	RXN-11328 // KDOTRANS-RXN
REDCITCYC	ISOCITDEH-RXN // RXNI-3 // R601-RXN // RXNI-2 // 2-OXOGLUTARATE-SYNTHASE-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN
PWY-6294	RXN-10685 // RXN-8587
PWY-7687	STIPITATONATE-DECARBOXYLASE-RXN // RXN-16831 // RXN-16830 // RXN-16829 // RXN-16828 // RXN-16827 // RXN-16826 // RXN-16825
PWY-7806	RXN-17951
PWY66-375	RXN66-337 // RXN66-336 // LEUKOTRIENE-C4-SYNTHASE-RXN // LEUKOTRIENE-A4-HYDROLASE-RXN // RXN-8647 // ARACHIDONATE-5-LIPOXYGENASE-RXN
PWY-7908	RXN-18815 // RXN-18814 // RXN-18813
PWY-7964	RXN-19295 // RXN-19308 // RXN-19310
FASYN-ELONG-PWY	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
PWY-8400	RXN-16138 // RXN-23023 // RXN-23511 // RXN-23510 // RXN66-516 // RXN66-515 // RXN66-514 // RXN66-511 // RXN-23030 // RXN-23029 // RXN-16206 // RXN-23024 // RXN-23005 // RXN66-510 // RXN66-502 // RXN66-500 // RXN66-499 // RXN66-498 // RXN-23020 // RXN-23010 // RXN-23021 // RXN-23009 // RXN-23506 // RXN-23505 // RXN-23504 // RXN-23007 // RXN-23503 // RXN-23501 // RXN-23500 // RXN66-667 // RXN-23498
PWY-8362	3PGAREARR-RXN // GKI-RXN // RXN0-7229 // GLYOHMETRANS-RXN // GCVMULTI-RXN // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // GLYCERATE-DEHYDROGENASE-RXN // GLYCINE-AMINOTRANSFERASE-RXN // GPH-RXN // RXN-961
HEME-BIOSYNTHESIS-II-1	RXN-21483 // RXN0-1461 // PROTOHEMEFERROCHELAT-RXN // UROGENDECARBOX-RXN
PWY-7275	RXN-14465 // RXN-14464 // RXN-14467 // 2.6.1.58-RXN // RXN-14462 // RXN-14463
PWY-5259	RXN-8128 // RXN-8126
UDPNAGSYN-PWY	PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN
PWY-6437	RXN-11276 // RXN-11275 // RXN-11274 // RXN-11273 // 4.2.3.10-RXN
GALDEG-PWY	GALACTONOLACTONASE-RXN // GALACTODEHYDROG-RXN
PWY-6129	RXN-24568 // RXN-24567 // RXN-11963 // DOLICHOL-KINASE-RXN // RXN-9971 // RXN-9970
PWY-1541	PHOSACETYLTRANS-RXN // RXN-2364 // RXN-2301 // RXN0-299 // TAURINE-DEHYDROGENASE-RXN // TAURINE-AMINOTRANSFERASE-RXN
PWY-6909	RXNQT-4301 // RXNQT-4300
PWY-7091	RXN-13646 // ACETONE-CYANHYDRIN-LYASE-RXN // RXN-5341 // RXN-13602
PWY-3621	1.14.11.1-RXN
ANAGLYCOLYSIS-PWY	3PGAREARR-RXN // GLUCOKIN-RXN // PGLUCISOM-RXN // RXN-15513 // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN
PWY-8355	RXN-23018 // RXN-23017 // RXN-23016 // RXN-23015 // RXN-23014 // RXN-23013 // RXN-23012 // RXN-16138 // RXN66-514 // RXN66-511 // RXN-16206 // RXN-23003 // RXN-23010 // RXN-23009 // RXN-23004 // RXN-23005 // RXN66-510
PWY-6812	3.2.1.150-RXN
PWY-7577	RXN-15983 // RXN-11130
PHOSLIPSYN-PWY	RXN0-7012 // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN // PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN // GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
PWY-7874	RXN-18588 // RXN-18595 // RXN-18592 // RXN-18590
PWY-5925	RXN-7983 // RXN-7982 // 1.14.11.24-RXN
PWY-5291	RXN-8195 // RXN-8192 // RXN-8194 // RXN-8193 // RXN-8196
PWY-6967	RXN-2841
PWY-5668	PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN
PWY-8514	RXN-24499 // RXN-24498 // RXN-24497 // RXN-24494 // RXN-24495
PWY-6002	RXN-11733 // RXN-9674
PWY0-1533	RXN0-1401 // RXN0-6710 // RXN0-6734 // RXN0-6733 // RXN0-6732
PWY-7977	RXN-21955 // RXN-19380 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-5788	RXN-9079 // RXN-9080 // RXN-9083 // RXN-9084
PWY-8250	RXN-22284 // RXN-22283 // RXN-22282 // RXN-22281 // RXN-22280 // RXN-22279 // RXN-18773 // RXN-18772 // RXN-18771 // GLCNACPTRANS-RXN
AEROBACTINSYN-PWY	RXN-13056 // RXN-13054 // 1.14.13.59-RXN // N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN
PWY-7980	ATPSYN-RXN
PWY-7019	RXN-13219 // RXN-13218 // RXN-13217 // RXN-13216 // RXN-13215 // RXN-13214 // RXN-13213
LEUSYN-PWY	RXN-8991 // RXN-7800 // 2-ISOPROPYLMALATESYN-RXN // 3-ISOPROPYLMALISOM-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 3-ISOPROPYLMALDEHYDROG-RXN
PWY-6786	ALLYL-ALCOHOL-DEHYDROGENASE-RXN // RXN-12281 // RXN0-4281 // RXN-12300 // RXN-12299 // RXN-12297 // RXN-12296 // RXN-12295 // RXN-12293 // RXN-12292
PWY-6962	RXN-12901 // RXN-12900 // TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN // RXN-12902 // METHYLGUTAMATE-DEHYDROGENASE-RXN // GLUTAMATE--METHYLAMINE-LIGASE-RXN
PWY-804	RXN-1744
PWY-5834	RXN-9160 // RXN-9159
PWY-7170	RXN-17523 // RXN-13968 // 1.3.7.4-RXN
PWY-7333	RXN-13252 // RXN-14769
CHOLINE-BETAINE-ANA-PWY	CHD-RXN // BADH-RXN
PWYQT-4476	RXN-18230 // RXN-1404 // RXN-12206 // RXN-12205 // RXNQT-4350 // RXNQT-4358 // RXNQT-4357 // RXNQT-4356 // RXNQT-4355 // RXNQT-4353 // RXNQT-4352 // RXNQT-4351 // RXN-1444
PWY-6829	RXN-23599 // RXN-14517 // RXN-12466 // RXN-12368 // RXN-12479 // RXN-12478 // RXN-12477 // RXN-12374 // RXN-12461 // RXN-11868 // RXN-11856 // RXN-11857 // RXN-11858 // RXN-11859 // RXN-12375 // RXN-12376
PWY-5805	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN
PWY-7085	ACETALD-DEHYDROG-RXN // RXN-13592 // RXN-13594 // RXN-13591 // RXN-13593 // RXN-13590
PWY-8057	RXN-20653 // RXN-20656 // RXN-20654 // RXN-20655
PWY-6942	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12769 // RXN-12768 // RXN-12767 // 2.6.1.33-RXN
PWY-5153	RXN-7785 // RXN-7815
METHYLGALLATE-DEGRADATION-PWY	RXN-2464 // OXALODECARB-RXN // RXN-9983 // RXN-2463 // RXN-2462 // METHYLGALLATE-RXN
PWY-5418	PHENOL-2-MONOOXYGENASE-RXN
P125-PWY	RR-BUTANEDIOL-DEHYDROGENASE-RXN // ACETOLACTATE-DECARBOXYLASE-RXN // RXN-11036 // RXN-6081 // ACETOLACTSYN-RXN
PWY-5053	1.14.13.79-RXN // RXN1F-160 // RXN1F-161 // 1.14.13.78-RXN // RXN-5242 // RXN-7580 // 4.2.3.19-RXN // 5.5.1.13-RXN
PWY-6239	RXN-13801 // FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-5004
PWY-5837	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5105	RXN-7760 // RXN-7759 // RXN-7755 // RXN-7754
PWY-7131	RXN-12239 // RXN-12238 // RXN-13574
PWY-3081	RXN-15002 // RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN-5182 // RXN-5183 // RXN-5184 // RXN-5185 // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN
PWY-5470	RETICULINE-OXIDASE-RXN // 2.1.1.117-RXN // 2.1.1.118-RXN // 2.1.1.89-RXN // RXN-8699 // RXN-8698
PWY-8179	RXN-21761 // RXN-21760 // RXN-21759 // RXN-21751 // 5.5.1.13-RXN // RXN-21750 // RXN-21749 // RXN-21748 // RXN-21747 // RXN-21745 // RXN-21744 // RXN-21743 // RXN-21742 // RXN-21741 // RXN-21740 // RXN-21739 // RXN-21738 // RXN-21737 // RXN-21734 // RXN-21732 // RXN-13866 // RXN-13865 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // RXN-21736 // RXN-21735
PWY-6536	RXN0-5293 // GABATRANSAM-RXN
PWY-7212	RXN-14238 // RXN-11760 // RXN-11755 // RXN-14237
PWY-6285	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555 // RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145 // RXN-16393 // RXN-9623 // RXN-9655 // 3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657 // RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
PWY-7205	CDPKIN-RXN // RXN-11832
PWY-6457	RXN-2001 // PHENYLALANINE-AMMONIA-LYASE-RXN
PWY-5875	RXN-12263 // RXN-9309 // RXN-9308 // RXN-9307 // RXN-9306 // RXN-9305 // RXN-9304 // RXN-9301 // RXN-9303
PWY-6948	RXN-12745 // RXN-12744 // RXN-12743 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12786 // RXN-12780 // RXN-12781 // RXN-12782 // RXN-12785 // RXN-12784 // RXN-12787 // RXN-12788 // RXN-12790 // RXN-12789
PWY-6055	RXN-9758 // RXN-9757 // RXN-9756 // METHIONINE-S-METHYLTRANSFERASE-RXN
PWY-6184	RXN-10079 // RXN-10078
PWY-8108	RXN-21056 // RXN-21058
PWY-7787	RXN-17772 // RXN-17765 // RXN-17764 // RXN-17762
PWY-3661	RXN-22742 // RXN-22706 // GLYOHMETRANS-RXN // RXN-15127 // RXN-15124 // RXN-15125 // SARCOX-RXN // 2.1.1.5-RXN
PWY-7627	RXN-16311 // RXN-16310 // RXN-16309 // RXN-16308 // RXN-16305 // RXN-16304 // RXN-16306
PWY-7476	ANTHRANILATE-N-METHYLTRANSFERASE-RXN // RXN-15371 // RXN-11853 // RXN-15390 // RXN-15389 // RXN-7570 // RXN-15391 // RXN-15392 // RXN-15388 // RXN-15386 // RXN-15385 // RXN-15384 // RXN-15383
PWY-7197	DCDPKIN-RXN // DTDPKIN-RXN // RXN-7913 // DTMPKI-RXN
PWY-6620	RXN0-5199 // GUANPRIBOSYLTRAN-RXN
PWY-2055	RXN-3284 // RXN-5112 // RXN-5111 // RXN-13699 // RXN-4505 // RXN-4504 // RXN-4502 // RXN-4501 // RXN-4513 // RXN-4512 // RXN-4510 // RXN-4511 // RXN-4509
PWY-5317	RXN-22718 // RXN-15200 // RXN-22720 // RXN-10816 // RXN-22717 // RXN-22716 // 6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN // HYOSCYAMINE-6-DIOXYGENASE-RXN // RXN-8255 // RXN-8254 // TROPINE-DEHYDROGENASE-RXN
PWY-7403	RXN-15019 // RXN-15015 // RXN-15016 // RXN-15017 // RXN-15018
VALSYN-PWY	ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN
PWY-7775	RXN-17579 // RXN-17578 // RXN-17571 // RXN-17569 // RXN-17568
PWY-5884	RXN-9344 // 2.3.1.75-RXN
PWY-7411	1.1.1.8-RXN // RXN-15046 // RXN-15044 // RXN-15043 // RXN-15045
PWY-8191	RXN-21836 // RXN-11881 // RXN-21829 // RXN66-28 // RXN66-27 // RXN-11887 // RXN-21837 // RXN-11959 // RXN-11884 // RXN-11878 // RXN-11876 // RXN-21831 // RXN-21830
PWY0-1582	R601-RXN // RXN-15740
PWY-7112	RXN-13673 // RXN-13678 // RXN-13677 // RXN-13675
PWY-6587	PYRUFLAVREDUCT-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN
PWY-6526	RXN-15824 // RXN-11493 // RXN-11462
PWY-7623	RXN-16244
PWY-7770	RXN-17536 // RXN-17535 // RXN-17534 // SPONTPRO-RXN // RXN-17533 // RXN-17532 // RXN-10139 // RXN-17531 // RXN-17529 // RXN-17530
PWY-7580	RXN-17523 // RXN-9292 // RXN-15985
PWY-8158	RXN-21515 // RXN-21516 // RXN-21517 // RXN-21518 // RXN-21519 // RXN-21520
PWY-6593	RXN-11674 // RXN-11673
PWY-7473	RXN-7570 // RXN-15391 // RXN-15392 // RXN-15388 // RXN-15386 // RXN-15385 // RXN-15384 // RXN-15383
PWY-5094	RXN-7732 // RXN-5002 // RXN-5381
PWY-7971	RXN-19343 // RXN-19338 // RXN-19342 // COBINAMIDEKIN-RXN // COBINPGUANYLYLTRANS-RXN
PWY-5022	RXN-16834 // R11-RXN // RXN-8890 // RXN-8889 // 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // GLUTAMATE-DEHYDROGENASE-RXN // GABATRANSAM-RXN
PWY-7379	RXN-21860 // MRNA-GUANINE-N7--METHYLTRANSFERASE-RXN // MRNA-GUANYLYLTRANSFERASE-RXN // RXN-14928 // 2.1.1.57-RXN
PWY-5433	RXN-23336 // RXN-23335 // RXN-23334 // RXN-12299 // RXN-1346 // RXN-11852 // RXN-1349 // RXN-1347 // RXN-1345 // RXN-1321 // HYDROHEX-RXN // LIPOXYGENASE-RXN // RXN-8504 // RXN-8503 // RXN-8502 // RXN-8501 // RXN-8500 // RXN-8499 // RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495
PWY-5665	RXN-8873 // RXN-8872 // RXN-8871
PWY-63	UDP-ARABINOSE-4-EPIMERASE-RXN
PWY-2904	RXN-4764 // RXN-4763 // RXN-4762 // RXN-4761
PWY-6609	HYPOXANPRIBOSYLTRAN-RXN // ADENODEAMIN-RXN // ADENPHOSPHOR-RXN // INOPHOSPHOR-RXN
PWY-7285	RXN-14526 // RXN-14527 // RXN-14517 // RXN-14516
PWY-5469	RXN-8677 // RXN-17352 // RXN-17351 // RXN-8705 // RXN-8704 // RXN-8703 // RXN-8696 // RXN-8695
PWY-6745	2.3.2.15-RXN
PWY66-425	L-LYSINE-OXIDASE-RXN // RXN-10855 // RXN-16267 // 2-KETO-ADIPATE-DEHYDROG-RXN // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN66-565 // RXN-8172 // RXN-8166 // L-PIPECOLATE-OXIDASE-RXN
MALATE-ASPARTATE-SHUTTLE-PWY	MALATE-DEH-RXN // ASPAMINOTRANS-RXN
PWY-5759	RXN-19691 // RXN-9014 // RXN-9013 // RXN-9012
PWY-7183	URACIL-PRIBOSYLTRANS-RXN
PWY-7265	RXN-14450 // RXN-14449
PWY-5818	RXN-17383 // RXN-17381 // RXN-17380 // RXN-17379 // RXN-17378 // RXN-17377 // RXN-17376 // RXN-9148 // RXN-9146 // RXN-9144 // RXN-9142 // RXN-9141 // RXN-9140
PWY-7622	GALPMUT-RXN // UDPGLUCEPIM-RXN
PWY-7252	RXN-14424 // RXN-14423 // RXN-14422
